State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Louisiana,LA,2001,"CB Richard Ellis, Inc.",24999.000000000004,ANDREW  WISE,NICHOLAS AYRUALT PYLE,BERRY BURNSIDE BALFOUR,GRADY R HAZEL,DOUGLAS LEE ROGERS,GEORGE EDWARD SUTTON,JOHN  ZACHARY,JONATHAN  MOORE,GWENDOLYN PATTERSON HAMILTON,DENA  SHER
Louisiana,LA,2001,Louisiana Association of Business and Industry,3260.8260869565215,CLAUDIA D. TUCKER,LORI M RENEAU
Louisiana,LA,2001,Pecan Grove Training Center,18749.25,MONA  LACOMBE,PHILIP G HOFFMAN,DAVID LEE KEMMERLY,CARMEN D WEISNER,KIRA  ORANGE JONES,KEITH  HITCHENS,DONALD R JENKINS,JOHN  BARRY,LEAH  GUERRY
Louisiana,LA,2001,"Louisiana Motor Transport Association, Inc. ",29999.733333333334,JON WILLIAM LUTHER,SUSAN  MATTHIAS,SEAN CHAD TURNER,JENNIFER  GUTTIREZ,SUNNY  KING,GINA  ROGERS,MICHAEL P ANDREWS,RONALD  DOUGHTY
Louisiana,LA,2001,CARSA,14999.400000000001,MONA  LACOMBE,PHILIP G HOFFMAN,DAVID LEE KEMMERLY,CARMEN D WEISNER,KIRA  ORANGE JONES,KEITH  HITCHENS,DONALD R JENKINS,JOHN  BARRY,LEAH  GUERRY
Louisiana,LA,2001,"Louisiana District Attorneys Association
",3977.2613636363635,CHRISTOPHER  FINK
