State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Wyoming,WY,2013,Federated Fire Fighters,Cabot S Bassett,,,,,,,,,,,
Wyoming,WY,2013,Advanced Communications Technology Inc,Jason P Hendricks,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Stock Growers Land Trust,Pamela Dewell,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Petroleum Marketers Association,Mark R Larson,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Fire Chiefs Association,Bob Wharff,Donny E Munger,Elizabeth Storer,James Wamsley,Rick A Cozad,Tod J Hunt,,,,,,
Wyoming,WY,2013,Wyoming Wildlife Federation,Steve Kilpatrick,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Trucking Association Inc,Wyoming State AFL-CIO,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Bankers Association,Michael Geesey,Peter K Lawton,,,,,,,,,,
Wyoming,WY,2013,Motorola Solutions Inc,Marian J Schulz,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Education Personnel,Charles W Custis,,,,,,,,,,,
Wyoming,WY,2013,WyWatch Family Action,Becky Vandeberghe,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Psychological Association,Coleen Haines,,,,,,,,,,,
Wyoming,WY,2013,Federated Fire Fights of Wyoming,Matt E Thompson,,,,,,,,,,,
Wyoming,WY,2013,Cheyenne Firefighers,Derek J Pollnow,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Association of Conservation,Bobbie K Frank,Dennis M Hemmer,,,,,,,,,,
Wyoming,WY,2013,Century Link,Kristin H Lee,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Sportmen's Alliance,Matt E Thompson,,,,,,,,,,,
Wyoming,WY,2013,Crisis Prevention & Response,Nila Jeanne Core,,,,,,,,,,,
Wyoming,WY,2013,Wyoming County Commissioners Association,Patrick M O'Brien,,,,,,,,,,,
Wyoming,WY,2013,"Citizens for Self-Governance, Convention of",Andrew J Dyl,,,,,,,,,,,
Wyoming,WY,2013,Anadarko Petroleum Corp,Robert E Rolston,,,,,,,,,,,
Wyoming,WY,2013,Altria Client Services & its Affiliates--Philip,Garth R Alston,,,,,,,,,,,
Wyoming,WY,2013,Insurance,Mike Mores,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Automobile Dealers Assocation,Garth R Alston,,,,,,,,,,,
Wyoming,WY,2013,Devon Energy,Nicholas M Agopian,,,,,,,,,,,
Wyoming,WY,2013,Matt Taylor (private special interest group),Jonathan W Goldstein,Melissa Osse,,,,,,,,,,
Wyoming,WY,2013,BNSF Railway,Affie B Ellis,,,,,,,,,,,
Wyoming,WY,2013,ONEOK Inc,Danette M Welsh,,,,,,,,,,,
Wyoming,WY,2013,United Parcel Service,Kristal D Fiser,,,,,,,,,,,
Wyoming,WY,2013,American Council of Life Insurers,Brenda S Nation,,,,,,,,,,,
Wyoming,WY,2013,Excellence in Education National Inc,Wyomign Sportsmen's Alliance,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Fire Chiefs,Jeff Kehl,Randy J Vickers,,,,,,,,,,
Wyoming,WY,2013,Advance America,Laura Lewis,Sara R Thompson Cassidy,,,,,,,,,,
Wyoming,WY,2013,Wyoming Federation of Union Sportsmen,Wyoming State AFL-CIO,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Public Employees Association,Betty Jo Beardsley,Lisa K Glauner,Lydia S Decaria,Robert D Kuchera,,,,,,,,
Wyoming,WY,2013,Enhanced Capital Partners,Sara Flitner,,,,,,,,,,,
Wyoming,WY,2013,Client,Lobbyist,,,,,,,,,,,
Wyoming,WY,2013,Powder River Basin Resource Council,Bill Bensel,Kevin F Lind,Shannon R Anderson,,,,,,,,,
Wyoming,WY,2013,League of Women Voters,Susan M Riske,,,,,,,,,,,
Wyoming,WY,2013,Tri County Telephone Association,Donald C Jackson,,,,,,,,,,,
Wyoming,WY,2013,National Federation of Independent Business,Tony Gagliardi,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Freedom in Education,Lisa K Glauner,Michelle L Sabrosky,,,,,,,,,,
Wyoming,WY,2013,American Heart Association,Christopher T Roller,Erin M O'Reilly,,,,,,,,,,
Wyoming,WY,2013,Calgon Carbon Corporation,John W Adams,,,,,,,,,,,
Wyoming,WY,2013,National Rifle Association of America,Mike Mores,,,,,,,,,,,
Wyoming,WY,2013,AT&T,Pamela M Revell,,,,,,,,,,,
Wyoming,WY,2013,Solvay Chemicals Inc,James I Maxfield,,,,,,,,,,,
Wyoming,WY,2013,QEP Resources Inc,Shane C Schulz,,,,,,,,,,,
Wyoming,WY,2013,BP America,Wyoming Nurses Association,,,,,,,,,,,
Wyoming,WY,2013,Trout Unlimited,Cory N Toye,,,,,,,,,,,
Wyoming,WY,2013,CenturyLink,Gale A Geringer,,,,,,,,,,,
Wyoming,WY,2013,AARP,Lynn M Achter,Cathy L Gonzales,Donald R Morris,Eric J Wedell,Jana Howard Ginter,Lindi L Kirkbride,Timothy S Summers,,,,,
Wyoming,WY,2013,Mylan Inc,Noah Reandeau,,,,,,,,,,,
Wyoming,WY,2013,Encana Oil & Gas,Angie Binder,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Youth Services Association,Clark A Fairbanks,,,,,,,,,,,
Wyoming,WY,2013,Rocky Mountain Farmers Union,Scott Zimmerman,,,,,,,,,,,
Wyoming,WY,2013,Delta Dental of Wyoming,Patricia J Guzman,,,,,,,,,,,
