State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Wyoming,WY,2008,,Altria Client Services Inc. and its Affiliates,Andrew C. Emrich,Ashley Vandeberghe,Barry G. Johnson,Brianna L. Jones,Charles K. Gulley,Derek T. Van Brunt,Douglas Gerard,Eric V. Miller,Frankie Addington,Jamie L. Wolf,Janie White,Jason M. Sanchez,Jason P. Hendricks,Jennifer K. Crowe,Louis A. Meeks,Marvin E. Emrich,Mary Lynne Shickich,Maureen Emrich,Penelope R. Caldwell,Pravina L. Gondalia,Robert G. Cox,Ruth M. Case,Shandra D. Emrich,Shelly J. McAlpin,Shepard O. Humphries,Susan M. Riske,Theresa M. Thompson,Trish McDaid-O'Neil,William J. Thomson
Wyoming,WY,2008,Wyoming Trucking Association,Donald Brent Taylor,Sheila D. Foertsch
Wyoming,WY,2008,National Society of Professional Surveyors,Jeffrey B. Jones
Wyoming,WY,2008,"Mtn West Farm Bureau, Inc.",Cynthia A. Pomeroy
Wyoming,WY,2008,"Scientific Games International, Inc.",Thomas Hodgkins
Wyoming,WY,2008,Novartis Pharmaceuticals Corp.,Barbara Christensen-Boner
Wyoming,WY,2008,WY Assisted Living Coalition,Devon P. O'Connell
Wyoming,WY,2008,Adminstaff,Brian J. Hanify
Wyoming,WY,2008,Wyoming Citizens for Chartered Public,Matthew D. Kaufman
Wyoming,WY,2008,Solvay Chemicals Inc.,James I. Maxfield
Wyoming,WY,2008,Wyoming School Boards Assn.,Mark Higdon
Wyoming,WY,2008,Smokefree Wyoming,Jason S. Mincer
Wyoming,WY,2008,Wyoming Automobile Dealers Association,Marsha M. Allen
Wyoming,WY,2008,General Education Foundation,Howard Carson
Wyoming,WY,2008,Americans for Amercian Energy,Greg Schnacke
Wyoming,WY,2008,SourceGas,William (Len) L. Mize
Wyoming,WY,2008,Focus on the Family Action,Brad S. Miller,Mona W. Passignano
Wyoming,WY,2008,Wyoming Mining Association,Marion Loomis
Wyoming,WY,2008,WY Fed. Of Rep. Women,Janet L. Anderson
Wyoming,WY,2008,(UPS) United Parcel Service,Kimberly A. Johnson
Wyoming,WY,2008,Union,Bruce S. Asay
Wyoming,WY,2008,Wyoming Hospital Association,Steve A. Bahmer
Wyoming,WY,2008,"Jona, Inc.",Mary Ann Collins
Wyoming,WY,2008,Wyoming Farm Bureau Federation,Brett Moline,Ken Hamilton
Wyoming,WY,2008,Questar,Shane C. Schulz
Wyoming,WY,2008,Questar Market Resources,Mike D. Smith
Wyoming,WY,2008,Wyoming Association of Municipalities,Dave Johnson,George Parks,Mark Harris
Wyoming,WY,2008,"Wal-Mart Stores, Inc.",Josh Phair
Wyoming,WY,2008,Wyoming Association for Career Technical,Toni Decklever
Wyoming,WY,2008,Wyoming Trial Lawyers Association,Marcia K. Shanor
Wyoming,WY,2008,North American Poner Group,Brad M. Enzi
Wyoming,WY,2008,The Sinclair Corporation,Clint W. Ensign
Wyoming,WY,2008,Power River Basin Resource Council,Deborah K. Thomas
Wyoming,WY,2008,National Fire Protection Association,David E. Nuss
Wyoming,WY,2008,Associated Students of UW,Erin L. Percival
Wyoming,WY,2008,Indoor Tanning Association,Robert M. Tarantola
Wyoming,WY,2008,WTA,Matt G. Lumley
Wyoming,WY,2008,WYWATCH,Daphne D. Ramey,Stacy Young
Wyoming,WY,2008,American Cancer Society Cancer Action,Erin A. Fair
Wyoming,WY,2008,Wyoming Coroner Association,Richard M. Hartman
Wyoming,WY,2008,Quality Health Care Foundation,Dan J. Lex
Wyoming,WY,2008,"Registered Agency Services, Inc.",Marion Loomis
Wyoming,WY,2008,Nat'l Ass'n of Professional Employer,Adam S. Peer
Wyoming,WY,2008,First American Title,Robert L. Bailey
Wyoming,WY,2008,USW Local 13214,Monte H. Morlock
Wyoming,WY,2008,Wy Trial Laywers Assn.,George Santini
Wyoming,WY,2008,Anadarko Petroleum Corporation,Richard T. Robitaille
Wyoming,WY,2008,Carpenters Union,Tim Wells
Wyoming,WY,2008,America's Health Insurance Plans,Leanne D. Gassaway
Wyoming,WY,2008,Alliance Defense Fund,Austin R. Nimocks
Wyoming,WY,2008,WY Education Association,Kathleen A. Scheurman
Wyoming,WY,2008,Wyoming Estate Planning Adivosry Council,Robert H. Leonard
Wyoming,WY,2008,Colorado Wyoming Petroleum Marketers Assn.,Mark R. Larson
Wyoming,WY,2008,Tri County Telephone Assn. Inc.,Donald C. Jackson
Wyoming,WY,2008,"Sand Creek Development Services III, Inc.",Nancy D. Freudenthal
Wyoming,WY,2008,BlueCross BlueShield of Wyoming,John P. McBride,Richard F. Schum,Tim J. Crilly
Wyoming,WY,2008,Americans for Liberty and Limited,Clair A. Schwan
Wyoming,WY,2008,Devon Energy Corporation,Margo Sabec
Wyoming,WY,2008,Wyoming Contractors Association,Jonathan Downing,Katie Legerski
Wyoming,WY,2008,Wyoming Weed & Pest Council,Joshua A. Shorb
Wyoming,WY,2008,Corrections Corporation of America,Kelly Durham
Wyoming,WY,2008,Wyoming Assn. of Realtors,Karen Valentine-Pond
Wyoming,WY,2008,Exxon Mobil Corporation,Sara Tays,Todd R. Schultz
Wyoming,WY,2008,3M License Division,Liz T. Zerga
Wyoming,WY,2008,The Washington Center for Internships and,Ed Olson
Wyoming,WY,2008,BNSF Railway,Cathy Norris
Wyoming,WY,2008,Wyoming Taxpayers Association,Erin N. Taylor
Wyoming,WY,2008,"SouceGas Distribution, LLC",O'Kelley H. Pearson
Wyoming,WY,2008,"Wyoming Family Coalition, PAC",Morgan (Drew) Andrew Hill
Wyoming,WY,2008,School Improvement Network,Charlie Luke
Wyoming,WY,2008,Campaign for Tobacco-Free Kids,Jodi L. Radke
Wyoming,WY,2008,Wyoming Assn. of Sheriffs & Chiefs of Police,Byron F. Oedekoven,Michael Hays
Wyoming,WY,2008,Wyoming Fire Chiefs,Edward S. Weppner,Samuel G. Wilde,T.J. Hunt
Wyoming,WY,2008,Francis Livestock Co.,Bobbie K. Frank
Wyoming,WY,2008,"Wyoming Bankers Association, Inc.",David R. Johnson
Wyoming,WY,2008,Powder River Basin Resource Council,Ashley E. Roberts,Kevin F. Lind,Shannon R. Anderson
Wyoming,WY,2008,U of Wyo Alumni Association,Roberta M. Darnall
Wyoming,WY,2008,WY Hospital Association,Daniel J. Perdue
Wyoming,WY,2008,W.C.T.A.,H.L. Jensen
Wyoming,WY,2008,American Heart Association,Janice D. Drury
Wyoming,WY,2008,Laramie County Weed & Pest,Richard R. Sackett
Wyoming,WY,2008,Devon,Dru Bower-Moore
Wyoming,WY,2008,Rocky Mountain Food Industry Assn.,Mary Lou Chapman
