State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Wyoming,WY,2009,,A. Richard Walje,Charles Curley,Christine A. Jones,Eric V. Miller,Frank Smith,James Phillip Grabrick,Jason M. Sanchez,John F. Parr,Karen Loken,Matthew M. Edwards,Michelle R. Bartlett,Shandra D. Emrich,Suzan C. Pauling,Timothy M. Sowecke,Tracy Rene Mathews
Wyoming,WY,2009,United Transportation Union (UTU),Tom L. Broadaway
Wyoming,WY,2009,Lobbyist for School Improvement Network,Charlie Luke
Wyoming,WY,2009,Wyoming Trucking Association,Donald Brent Taylor
Wyoming,WY,2009,Associated Builders & Contractors of,"Tuesday, March 09, 2010"
Wyoming,WY,2009,National Federation of Independent Business,A.F. (Tony) Gagliardi
Wyoming,WY,2009,Kern River Gas & Transmission Co.,Peabody Energy
Wyoming,WY,2009,Cameco Resources,Kenneth J. Vaughn
Wyoming,WY,2009,Nat'l Association of Professional Employer,Adam S. Peer
Wyoming,WY,2009,National Outdoor Leadership School,Aaron J. Bannon
Wyoming,WY,2009,Wyoming Retired Education Personnel,Naomi L. Allen
Wyoming,WY,2009,Wyoming Automobile Dealers Association,Janet L. Anderson
Wyoming,WY,2009,Wyoming Business Alliance,Bill Schilling
Wyoming,WY,2009,Wyoming P-196 Education Council,Kelley C. Pelissier
Wyoming,WY,2009,Wyoming Mining Association,Lynn M. Welker
Wyoming,WY,2009,Wyoming Dental Association,Timothy J. Gilmore
Wyoming,WY,2009,Lawyers and Advocates for Wyoming,Mark L. Aronowitz
Wyoming,WY,2009,Wyoming Farm Bureau Federation,Brett Moline,Eugene G. Hardy
Wyoming,WY,2009,Questar,Shane C. Schulz
Wyoming,WY,2009,Questar Market Resources,Michael D. Smith
Wyoming,WY,2009,Union Telephone Company,Bruce S. Asay
Wyoming,WY,2009,Wyoming Association of Municipalities,George H. Parks,Mark W Harris
Wyoming,WY,2009,Wyo Fire Service,Jeff S. Kehl
Wyoming,WY,2009,"Wal-Mart Stores, Inc.",Josh Phair
Wyoming,WY,2009,Sublette County Commissioners,Randall B. Luthi
Wyoming,WY,2009,"Sierra Club, Wyoming Chapter",Don O. Hill
